Time:128Hz,tag
6.4531250000,left_start
10.3984375000,left_end
10.3984375000,rest_start
12.3671875000,rest_end
12.3671875000,left_start
16.4375000000,left_end
16.4375000000,rest_start
18.3984375000,rest_end
18.3984375000,rest_start
22.4687500000,rest_end
22.4687500000,rest_start
24.4375000000,rest_end
24.4375000000,right_start
28.4843750000,right_end
28.4843750000,rest_start
30.4453125000,rest_end
30.4453125000,stop_start
34.4921875000,stop_end
34.4921875000,rest_start
36.4531250000,rest_end
36.4531250000,stop_start
40.37500000,stop_end
40.37500000,rest_start
42.4609375000,rest_end
42.4609375000,right_start
46.3828125000,right_end
46.3828125000,rest_start
48.4687500000,rest_end
48.4687500000,right_start
52.3906250000,right_end
52.3906250000,rest_start
54.4765625000,rest_end
54.4765625000,right_start
58.3984375000,right_end
58.3984375000,rest_start
60.4843750000,rest_end
60.4843750000,rest_start
64.4062500000,rest_end
64.4062500000,rest_start
66.4921875000,rest_end
66.4921875000,right_start
70.4140625000,right_end
70.4140625000,rest_start
72.37500000,rest_end
72.37500000,rest_start
76.4218750000,rest_end
76.4218750000,rest_start
78.3828125000,rest_end
78.3828125000,rest_start
82.4296875000,rest_end
82.4296875000,rest_start
84.3906250000,rest_end
84.3906250000,stop_start
88.6953125000,stop_end
88.6953125000,rest_start
90.6562500000,rest_end
90.6562500000,stop_start
94.7031250000,stop_end
94.7031250000,rest_start
96.6640625000,rest_end
96.6640625000,stop_start
100.7109375000,stop_end
100.7109375000,rest_start
102.6640625000,rest_end
102.6640625000,stop_start
106.6953125000,stop_end
106.6953125000,rest_start
108.6484375000,rest_end
108.6484375000,left_start
112.6796875000,left_end
112.9375000000,rest_start
114.8906250000,rest_end
114.8906250000,stop_start
118.9218750000,stop_end
118.9218750000,rest_start
120.8750000000,rest_end
120.8750000000,stop_start
124.9062500000,stop_end
124.9062500000,rest_start
126.9843750000,rest_end
126.9843750000,left_start
130.8906250000,left_end
131.1484375000,rest_start
133.2343750000,rest_end
133.2343750000,left_start
137.1328125000,left_end
137.1328125000,rest_start
139.2187500000,rest_end
139.2187500000,left_start
143.1171875000,left_end
143.1171875000,rest_start
145.1953125000,rest_end
145.4609375000,left_start
149.4921875000,left_end
149.4921875000,rest_start
151.4453125000,rest_end
151.4453125000,left_start
155.4765625000,left_end
155.4765625000,rest_start
157.4296875000,rest_end
157.4296875000,left_start
161.4609375000,left_end
161.7187500000,rest_start
163.6718750000,rest_end
163.6718750000,left_start
167.7031250000,left_end
167.7031250000,rest_start
169.6562500000,rest_end
169.6562500000,rest_start
173.9453125000,rest_end
173.9453125000,rest_start
175.8984375000,rest_end
175.8984375000,stop_start
179.9296875000,stop_end
179.9296875000,rest_start
181.8828125000,rest_end
181.8828125000,rest_start
186.1718750000,rest_end
186.1718750000,rest_start
188.1250000000,rest_end
188.1250000000,rest_start
192.1562500000,rest_end
192.4218750000,rest_start
194.2421875000,rest_end
194.3671875000,rest_start
198,rest_end
198,rest_start
200.4843750000,rest_end
200.4843750000,right_start
204.3828125000,right_end
204.6484375000,rest_start
206.7265625000,rest_end
206.7265625000,left_start
210.6328125000,left_end
210.6328125000,rest_start
212.7109375000,rest_end
212.9687500000,left_start
216.8750000000,left_end
216.8750000000,rest_start
218.9531250000,rest_end
218.9531250000,stop_start
222.9843750000,stop_end
223.1171875000,rest_start
225.1953125000,rest_end
225.1953125000,right_start
229.2343750000,right_end
229.4921875000,rest_start
231.1796875000,rest_end
231.4453125000,rest_start
235.4765625000,rest_end
235.4765625000,rest_start
237.4296875000,rest_end
237.4296875000,left_start
241.7187500000,left_end
241.7187500000,rest_start
243.6718750000,rest_end
243.6718750000,left_start
247.9609375000,left_end
247.9609375000,rest_start
249.9140625000,rest_end
249.9140625000,left_start
253.9296875000,left_end
254.1875000000,rest_start
256.1328125000,rest_end
256.1328125000,rest_start
260.1484375000,rest_end
260.4062500000,rest_start
262.4843750000,rest_end
262.4843750000,rest_start
266.3671875000,rest_end
266.3671875000,rest_start
268.4375000000,rest_end
268.7031250000,right_start
272.7187500000,right_end
272.7187500000,rest_start
274.6562500000,rest_end
274.9218750000,right_start
278.9375000000,right_end
278.9375000000,rest_start
280.8750000000,rest_end
280.8750000000,right_start
285.1562500000,right_end
285.1562500000,rest_start
287.2265625000,rest_end
287.2265625000,right_start
291.3750000000,right_end
291.3750000000,rest_start
293.4453125000,rest_end
293.4453125000,stop_start
297.7187500000,stop_end
297.7187500000,rest_start
299.6640625000,rest_end
299.6640625000,rest_start
303.9375000000,rest_end
303.9375000000,rest_start
305.8828125000,rest_end
